,Name,Style,Family_style,Brewery,Alc,IBU,Rating,NFamily_style,clusters
103,Bounteous,Stout - Imperial / Double Pastry,Stout,Moksa Brewing Co,13.5,35.547770700636946,4.53,35,1
104,Bourbon BA Pistol Juice (2021),Mead - Melomel,Mead,Marlobobo,12.5,35.547770700636946,4.58,21,1
105,Bourbon Barrel Aged Ego Death W/ Vanilla (2021),Stout - Imperial / Double Pastry,Stout,Resident Culture Brewing Co.,12.5,35.547770700636946,4.56,35,1
106,Bourbon Saffron,Stout - Imperial / Double,Stout,Dugges Bryggeri,13.0,35.547770700636946,3.99,35,1
107,BQE (2022 Double Banana Coconut),Stout - Imperial / Double,Stout,Finback Brewery,14.8,35.547770700636946,4.22,35,1
108,Brain Glow,IPA - New England / Hazy,IPA,Ruse Brewing,7.2,35.547770700636946,4.11,16,4
109,Bramble,Wild Ale,Wild Ale,Crossover Blendery,5.5,35.547770700636946,3.94,39,2
110,Brand New Day,Sour - Fruited,Sour,Ten Hands Brewing,5.6,35.547770700636946,3.6,34,3
111,Brave New World,IPA - Triple New England / Hazy,IPA,Basqueland Brewing,10.0,35.547770700636946,4.02,16,4
112,Break of Night,Porter - American,Porter,Moonlight Brewing Company,5.6,35.547770700636946,3.78,27,2
113,Brekologik,Cider - Graff,Cider,Pomologik,6.5,35.547770700636946,3.62,7,0
114,Bretta Festbier,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,6.0,28.0,3.77,39,2
115,Brew 3000 (2019),Barleywine - English,Barleywine,Fremont Brewing,13.2,35.547770700636946,4.46,0,1
116,Brew 4000 (2020),Barleywine - English,Barleywine,Fremont Brewing,12.7,33.0,4.51,0,1
117,Brewed To Bee Wild,Wild Ale - Other,Wild Ale,Carbon Brews,7.7,15.0,3.64,39,2
118,Bries,Sour - Fruited,Sour,Nevel Wild Ales,6.1,35.547770700636946,3.84,34,3
119,Brighter Times,IPA - American,IPA,Stepping Stone Brewing Company,6.1,35.547770700636946,3.62,16,4
120,Broken Blender (2021),Stout - Imperial / Double,Stout,Bottle Logic Brewing,12.54,25.0,4.26,35,1
121,Broken Trust,IPA - Imperial / Double,IPA,Too Old To Die Young Brewing Co.,8.0,60.0,3.66,16,4
122,BROR,IPA - New England / Hazy,IPA,Crooked Moon Brewing,8.0,35.547770700636946,3.56,16,4
123,Brut,Cider - Dry,Cider,Pomologik,4.5,35.547770700636946,3.58,7,0
124,Busta Rye,Stout - Imperial / Double,Stout,Mikerphone Brewing,15.63,35.547770700636946,4.19,35,1
125,Calcifer,IPA - New England / Hazy,IPA,Batch Craft Beer & Kolaches,6.66,35.547770700636946,4.03,16,4
126,Camino Del Río,IPA - American,IPA,Cervecería Transpeninsular,7.1,65.0,3.67,16,4
127,Can You Feel the PRRRT Tonight,Sour - Fruited,Sour,Drekker Brewing Company,6.1,35.547770700636946,4.15,34,3
128,Can't Say No 2 U,Stout - Irish Dry,Stout,Mikkeller Brewpub London,4.6,35.547770700636946,3.54,35,0
129,Capitão Leitão,IPA - New England / Hazy,IPA,Dois Corvos,6.0,35.547770700636946,3.82,16,4
130,Captain Muscat 2020,Lambic - Fruit,Lambic,Bofkont,6.0,35.547770700636946,4.15,20,2
131,Carretera 3 West Coast IPA,IPA - American,IPA,Cervecería Transpeninsular,6.8,70.0,3.75,16,4
132,Cashmere Azacca,IPA - New England / Hazy,IPA,Cervesa Espiga,6.3,25.0,3.63,16,4
133,CASSIS FRAMBOISE (2022),Wild Ale - Other,Wild Ale,Popihn Sauvages,7.0,35.547770700636946,4.05,39,2
134,Ceréjhe (Etre Gourmet Blend),Farmhouse Ale - Saison,Farmhouse,Brasserie de la Sambre,6.5,35.547770700636946,3.97,8,2
135,Chance,IPA - Imperial / Double,IPA,Willibald Farm Brewery,8.4,35.547770700636946,4.11,16,4
136,Chasing Dreams,IPA - Imperial / Double New England / Hazy,IPA,Folkingebrew,8.5,35.547770700636946,4.06,16,4
