Name,Style,Family style,Brewery,Alc,IBU,Rating
Bigger Dreams Hazy IPA,IPA - New England / Hazy,IPA ,Creature Comforts Brewing Co.,6.8,,3.9
Billowing Clouds of Hallertau,Pale Ale - American,Pale ,Yokefellow,4.6,,3.55
Billowing Clouds of Hallertau,Pale Ale - American,Pale ,Yokefellow,4.6,,3.55
Billowing Clouds of Hallertau,Pale Ale - American,Pale ,Yokefellow,4.6,,3.55
Billowing Clouds of Hallertau,Pale Ale - American,Pale ,Yokefellow,4.6,,3.55
Biparellus,IPA - Black / Cascadian Dark Ale,IPA ,Neon Raptor Brewing Co.,6.6,,3.72
Bitter,Farmhouse Ale - Bière de Coupage,Farmhouse ,Tommie Sjef,7,,4.19
Black Berry White,Mead - Other,Mead ,Superstition Meadery,13.5,,4.61
Black Cream,Stout - Imperial / Double,Stout ,Amager Bryghus,12,,3.76
Bleu,Stout - Russian Imperial,Stout ,Brasserie de la Sambre,15.2,12,4.12
Blinded By the Lights,IPA - Imperial / Double,IPA ,Neon Raptor Brewing Co.,8,,4.05
Blinded By the Night,Schwarzbier,Schwarzbier,To Øl,5,,3.35
Blue Berry White,Mead - Other,Mead ,Superstition Meadery,13.5,,4.57
Blue Roses,Sour - Other,Sour ,Sour Cellars,6.2,,4.02
Blue Shift,Lambic - Other,Lambic ,Pellicle Vergistingen,,,3.93
Bomaye,Stout - Imperial / Double,Stout ,Magnanimous Brewing,12.5,,4.21
Bombay by Boat,IPA - American,IPA ,Moonlight Brewing Company,6.2,,3.62
Bone Voyage,IPA - Sour,IPA ,Too Old To Die Young Brewing Co.,6.5,25,3.53
Boskeun,Belgian Strong Golden Ale,Belgian ,Brouwerij De Dolle Brouwers,9,30,3.72
Botanical Stout,Stout - Other,Stout ,Buddelship Brauerei,8.9,,2.99
Bounteous,Stout - Imperial / Double Pastry,Stout ,Moksa Brewing Co,13.5,,4.53
Bourbon BA Pistol Juice (2021),Mead - Melomel,Mead ,Marlobobo,12.5,,4.58
Bourbon Barrel Aged Ego Death W/ Vanilla (2021),Stout - Imperial / Double Pastry,Stout ,Resident Culture Brewing Co.,12.5,,4.56
Bourbon Saffron,Stout - Imperial / Double,Stout ,Dugges Bryggeri,13,,3.99
BQE (2022 Double Banana Coconut),Stout - Imperial / Double,Stout ,Finback Brewery,14.8,,4.22
Brain Glow,IPA - New England / Hazy,IPA ,Ruse Brewing,7.2,,4.11
Bramble,Wild Ale,Wild Ale,Crossover Blendery,5.5,,3.94
Brand New Day,Sour - Fruited,Sour ,Ten Hands Brewing,5.6,,3.6
Brave New World,IPA - Triple New England / Hazy,IPA ,Basqueland Brewing,10,,4.02
Break of Night,Porter - American,Porter ,Moonlight Brewing Company,5.6,,3.78
Brekologik,Cider - Graff,Cider ,Pomologik,6.5,,3.62
Bretta Festbier,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,6,28,3.77
Brew 3000 (2019),Barleywine - English,Barleywine ,Fremont Brewing,13.2,,4.46
Brew 4000 (2020),Barleywine - English,Barleywine ,Fremont Brewing,12.7,33,4.51
Brewed To Bee Wild,Wild Ale - Other,Wild Ale,Carbon Brews,7.7,15,3.64
Bries,Sour - Fruited,Sour ,Nevel Wild Ales,6.1,,3.84
Brighter Times,IPA - American,IPA ,Stepping Stone Brewing Company,6.1,,3.62
Broken Blender (2021),Stout - Imperial / Double,Stout ,Bottle Logic Brewing,12.54,25,4.26
Broken Trust,IPA - Imperial / Double,IPA ,Too Old To Die Young Brewing Co.,8,60,3.66
BROR,IPA - New England / Hazy,IPA ,Crooked Moon Brewing,8,,3.56
Brut,Cider - Dry,Cider ,Pomologik,4.5,,3.58
Busta Rye,Stout - Imperial / Double,Stout ,Mikerphone Brewing,15.63,,4.19
Calcifer,IPA - New England / Hazy,IPA ,Batch Craft Beer & Kolaches,6.66,,4.03
Camino Del Río,IPA - American,IPA ,Cervecería Transpeninsular,7.1,65,3.67
Can You Feel the PRRRT Tonight,Sour - Fruited,Sour ,Drekker Brewing Company,6.1,,4.15
Can't Say No 2 U,Stout - Irish Dry,Stout ,Mikkeller Brewpub London,4.6,,3.54
Capitão Leitão,IPA - New England / Hazy,IPA ,Dois Corvos,6,,3.82
Captain Muscat 2020,Lambic - Fruit,Lambic ,Bofkont,6,,4.15
Carretera 3 West Coast IPA,IPA - American,IPA ,Cervecería Transpeninsular,6.8,70,3.75
Cashmere Azacca,IPA - New England / Hazy,IPA ,Cervesa Espiga,6.3,25,3.63
CASSIS FRAMBOISE (2022),Wild Ale - Other,Wild Ale,Popihn Sauvages,7,,4.05
Ceréjhe (Etre Gourmet Blend),Farmhouse Ale - Saison,Farmhouse ,Brasserie de la Sambre,6.5,,3.97
