Name,Style,Family style,Brewery,Alc,IBU,Rating
Rust,Wheat Beer - Wheat Wine,Wheat Beer,Lua Brewing,15.7,,4.2
Saaz,Wild Ale - Other,Wild Ale,Tommie Sjef,6.8,20,4.07
Saison De Coupage - Batch 2,Farmhouse Ale - Saison,Farmhouse ,Dekkera Brewing & Blending,5.6,,3.7
Saison Rougé D’amphore (Abouriou),Farmhouse Ale - Saison,Farmhouse ,Pleasanti Street,7,,3.37
Salted Rhubarb Vanilla Sour Cream Crumble,Sour - Fruited,Sour ,LERVIG,3.5,12,3.6
Salted Tangerine Peel Infused Lambic,Lambic - Traditional,Lambic ,Oud Beersel,6.8,,3.64
Sand,Cider - Dry,Cider ,Pomologik,5.5,,3.64
Sanguine,Pale Ale - Belgian,Pale ,Halfway Crooks Beer,4.8,,3.73
Saturnus,Pale Ale - New England / Hazy,Pale ,Põhjala,5,30,3.6
Sauvignon / Passie 21/18,Lambic - Other,Lambic ,Symbiose Brewing / Blending,7.5,,4.07
Scatter Signal (2022),Stout - Imperial / Double Pastry,Stout ,Bottle Logic Brewing,12,30,4.32
Scratch the Itch,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,6,30,3.97
Scribley,Sour - Fruited,Sour ,Sour Cellars,6.4,,3.86
Seaman,Sour - Traditional Gose,Sour ,Vinohradský pivovar,3.9,7,3.66
Sebastian,Sour - Other,Sour ,Dugges Bryggeri,8,,3.76
Serial Delusion,Pale Ale - American,Pale ,Moonlight Brewing Company,5.8,,3.82
Severed,Stout - Imperial / Double,Stout ,Pleasanti Street,13.65,,4.11
Sewn To the Sky,IPA - New England / Hazy,IPA ,Branch & Bone Artisan Ales,7,,4.03
She Shot First,IPA - New England / Hazy,IPA ,Bottle Logic Brewing,6.4,65,3.97
Shivers 2022,Wild Ale - Other,Wild Ale,Crossover Blendery,7.1,,3.92
SHORT RIFF LOVER BOY,IPA - New England / Hazy,IPA ,Pomona Island Brew Co.,6.8,,3.95
Sidious,Farmhouse Ale - Other,Farmhouse ,Batch Craft Beer & Kolaches,4.6,,3.66
Silver Spoon,Stout - Coffee,Stout ,18th Street Brewery,8.6,,3.94
Simcoe Dry-Hopped Lambic,Lambic - Traditional,Lambic ,Oud Beersel,6.8,,3.8
Single Estate - Kieni,Stout - Coffee,Stout ,WarPigs Brewpub,5.1,,3.3
Singularity: Pomme D'Or,Cider - Other Fruit,Cider ,Pellicle Vergistingen,,,3.81
Skånsk Lager,Lager - Helles,Lager ,Hyllie Bryggeri,5.2,,3.3
Sky Kraken,Pale Ale - New England / Hazy,Pale ,Fremont Brewing,5.5,,3.81
Slang Du Jour - Raspberry Cheesecake,Sour - Smoothie / Pastry,Sour ,Drekker Brewing Company,6.3,,4.34
Slayz Gonna Be Haze,Pale Ale - New England / Hazy,Pale ,Cervecería Transpeninsular,6.1,26,3.56
Slayz the Haze,IPA - New England / Hazy,IPA ,Cervecería Transpeninsular,6.5,,3.8
Slightly Tightly,Sour - Other,Sour ,Sour Cellars,8.2,,4
Smoooth Ops Pina Colada,Hard Seltzer,Hard Seltzer,3 Sons Brewing Co.,6,,4.09
Smoothie Sequence MBCC Special #1 (Raspberry,Sour - Smoothie / Pastry,Sour ,Folkingebrew,6,,4.16
Smoothie Sequence MBCC Special #2 (Piña Colada),Sour - Smoothie / Pastry,Sour ,Folkingebrew,6,,4.01
S'Mortal Kombat,Stout - Imperial / Double,Stout ,3 Sons Brewing Co.,12.8,,4.52
Smuggler's Song,Gluten-Free,Gluten-Free,Mikerphone Brewing,6,,3.97
Smulsmurf 2022,Lambic - Fruit,Lambic ,Bofkont,6,,4.12
Sometime Around Midnight,IPA - Imperial / Double New England / Hazy,IPA ,Drekker Brewing Company,8,,4
Sorcerer's Lab: Black Oats,Stout - Oatmeal,Stout ,Amager Bryghus,5.2,27,3.29
Sorcerer's Lab: Cinderella,IPA - Session,IPA ,Amager Bryghus,4.5,6,3.52
Sorte Tanker,Stout - Imperial / Double,Stout ,Too Old To Die Young Brewing Co.,10.7,40,3.83
Soul Catcher,Porter - Imperial / Double Baltic,Porter ,TapRoom Beer Company,10.8,,3.58
Sour Punch,Sour - Fruited Berliner Weisse,Sour ,Carbon Brews,4.5,6,3.67
Soyouz Ecuador Edition,Stout - Russian Imperial,Stout ,Brasserie de la Sambre,12.5,90,3.94
Soyouz Nicaragua Edition,Stout - Russian Imperial,Stout ,Brasserie de la Sambre,13.1,,3.86
Space Jam (2023),Stout - Imperial / Double Pastry,Stout ,Bottle Logic Brewing,13.5,30,4.32
Space Turtle,Stout - Imperial / Double,Stout ,Magnanimous Brewing,13.5,,4.28
Spacetime,IPA - Imperial / Double,IPA ,Willibald Farm Brewery,8.3,,4.06
Spare,IPA - Cold,IPA ,18th Street Brewery,4.4,,3.42
Special Extra Export Stout,Stout - Foreign / Export,Stout ,Brouwerij De Dolle Brouwers,9,50,3.6
SPICY DARK CHOCO MOLÉ By Rackhouse,Stout - Imperial / Double Pastry,Stout ,LERVIG,14.5,,4.31
Spritz Seltzer,Hard Seltzer,Hard Seltzer,2085-HS,5,,3.38
sprøng,Wild Ale - Other,Wild Ale,Tommie Sjef,7.1,,4.15
Squirrely DIPA,IPA - Imperial / Double New England / Hazy,IPA ,Outer Range Brewing Co.,8,,4.16
Star Dust,Sour - Fruited,Sour ,Cervesa Espiga,8,,3.9
Stay,Sour - Fruited,Sour ,Lua Brewing,8.5,,4.17
Stay Hella Puffed: Grape Cherry,Sour - Fruited,Sour ,DankHouse Brewing Company,6.6,,4.27
Steezy DDH,IPA - New England / Hazy,IPA ,Outer Range Brewing Co.,7.2,,4.21
Stellar,Barleywine - English,Barleywine ,Pleasanti Street,14.7,,4.45
Stevnsberry Free Jazz (2022),Mead - Melomel,Mead ,Marlobobo,10,,4.48
Stiff Peaks,Sour - Smoothie / Pastry,Sour ,3 Sons Brewing Co.,5.6,,4.1
Stille Nacht (2022),Belgian Strong Golden Ale,Belgian ,Brouwerij De Dolle Brouwers,12,,3.99
Stille Nacht Reserva (2019),Belgian Strong Golden Ale,Belgian ,Brouwerij De Dolle Brouwers,12,,3.95
Stolen Bikes Ride Faster,Wild Ale - American,Wild Ale,Dekkera Brewing & Blending,6,21,3.92
Straw Berry White,Mead - Other,Mead ,Superstition Meadery,13.5,,4.56
Strummer’s Vienna Lager,Lager - Vienna,Lager ,Cervecería Transpeninsular,5,38,3.5
Succession,IPA - Triple,IPA ,Willibald Farm Brewery,10,,4.19
Summer '22,Lambic - Fruit,Lambic ,Bofkont,6,,4.35
Sun City,Sour - Fruited Berliner Weisse,Sour ,Põhjala,5,15,3.62
Sunset Punch,Sour - Fruited,Sour ,Moksa Brewing Co,14.3,,4.06
Super Clear,IPA - Imperial / Double,IPA ,CLAG Brewing Company,8.5,,4.09
Super Super Turbo Turbo,Lager - Japanese Rice,Lager ,Halfway Crooks Beer,5,,3.96
Supersonic - Down Under,IPA - Imperial / Double,IPA ,LERVIG,8.4,,4.14
Surf Zone,IPA - Brett,IPA ,Odd Breed Wild Ales,10.8,45,3.96
Svartsalt,Porter - Other,Porter ,OY Brewing,5.8,,3.48
SWAP #1 Marcobin,Stout - Imperial / Double,Stout ,Brewski,13,,4.09
SWAP #2 HannaHannaH,Stout - Imperial / Double,Stout ,Brewski,11.5,,4.05
Sweet Osmanthus Infused Lambic,Lambic - Other,Lambic ,Oud Beersel,6.8,,3.73
Sycamore,Pilsner - German,Pilsner ,ÅBEN,4.8,,3.37
Symphony One,Wild Ale - Other,Wild Ale,Métaphore,5.5,,3.93
Syreregn,IPA - American,IPA ,Flying Couch Brewing,6.5,,3.51
Tahitian Vanilla Elder Beast,Stout - Imperial / Double Pastry,Stout ,Branch & Bone Artisan Ales,14,,4.05
Tannin,Grape Ale - Other,Grape ,Pellicle Vergistingen,7,,4.15
Techno Tomboy,IPA - New England / Hazy,IPA ,Outer Range Brewing Co.,7.2,,4.1
Tefnut Blueberry Maple Pancake,Sour - Smoothie / Pastry,Sour ,Omnipollo,10,,4.1
Ten Degrees Pivo,Pilsner - Czech / Bohemian,Pilsner ,WarPigs Brewpub,4,,3.35
Texas Surprise 2022,Wild Ale - Other,Wild Ale,Crossover Blendery,6.1,,3.86
Thank This Guy,Pale Ale - New England / Hazy,Pale ,Crooked Moon Brewing,5,,3.42
The Day Japanese Citrus Lager,Fruit Beer,Fruit ,Baeren Brauerei,5,,3.3
The Day Japanese Citrus Lager,Fruit Beer,Fruit ,Baeren Brauerei,5,,3.3
The Day Trad Gold Pilsner,Pilsner - Czech / Bohemian,Pilsner ,Baeren Brauerei,4.8,,3.39
The Easygoing Drink #8,Farmhouse Ale - Grisette,Farmhouse ,Garden Path Fermentation,3.7,,3.53
The Eye of Jupiter,IPA - American,IPA ,Finback Brewery,7.5,,4.2
The Fruitful Barrel Blueberrries & Fir Tips,Wild Ale - American,Wild Ale,Garden Path Fermentation,6.5,,3.94
The Garden Paths Led To Flowered 7th Edition,Farmhouse Ale - Saison,Farmhouse ,Garden Path Fermentation,7.1,,3.75
The Great Locomotive Chase,Rye Wine,Rye ,Amager Bryghus,11,,3.67
The Great Reset,IPA - Imperial / Double,IPA ,Stepping Stone Brewing Company,8.2,17,3.93
The Keep Volume II,Barleywine - English,Barleywine ,Magnanimous Brewing,12.5,,4.17
The Kids Are Not Alright,IPA - Triple New England / Hazy,IPA ,Resident Culture Brewing Co.,9.5,,4.14
The Kitchen Sink,Stout - Imperial / Double,Stout ,3 Sons Brewing Co.,12,,4.31
The Last Four Winters In Wisconsin (2019),Lambic - Gueuze,Lambic ,Funk Factory Geuzeria,5.5,,4.24
The Last Four Winters In Wisconsin (2020),Lambic - Gueuze,Lambic ,Funk Factory Geuzeria,5.5,,4.1
The Lightest One,Lager - Helles,Lager ,Enegren Brewing Company,4.8,21,3.69
The Local Harvest Cider Apples,Cider - Dry,Cider ,Garden Path Fermentation,6.9,,3.62
The Local Harvest Cider Apples & Hops,Cider - Herbed / Spiced / Hopped,Cider ,Garden Path Fermentation,6.9,,3.67
The Local Harvest: Ashmead's Kernel,Cider - Dry,Cider ,Garden Path Fermentation,6.7,,3.39
The Long Forever,Stout - Imperial / Double Pastry,Stout ,Ruse Brewing,12,,4.24
The New IPA,IPA - New England / Hazy,IPA ,Cervesa Espiga,6,60,3.94
The Old Man the Boat,Wild Ale - American,Wild Ale,Garden Path Fermentation,6,,3.83
The Pershores - Yellow,Wild Ale - Other,Wild Ale,Crossover Blendery,6.3,,3.86
The Quadfather (aged In American Oak & Applewood Stave Rye Whiskey Barrels),Belgian Quadrupel,Belgian ,Voodoo Brewing Co.,11.4,,4.22
The Quantic State,IPA - Imperial / Double New England / Hazy,IPA ,Spartacus Brewing,8.4,42,4.15
The Rusty Nail (2022),Stout - Imperial / Double Oatmeal,Stout ,Fremont Brewing,13.6,40,4.44
The Stars Are Projectors,Sour - Fruited,Sour ,Lua Brewing,6.1,,4.06
The Stoner,Farmhouse Ale - Saison,Farmhouse ,DUST Blending,6.3,,4.05
The Void Within the Cloak,Stout - Imperial / Double Pastry,Stout ,Moksa Brewing Co,12,,4.23
There Is A Cocky Goat Outside,Bock - Hell / Maibock / Lentebock,Bock ,Sudden Death Brewing Co.,6.7,,3.69
Thor,IPA - New England / Hazy,IPA ,Batch Craft Beer & Kolaches,7,,3.73
Thor Is My Co-Pilot,IPA - Imperial / Double New England / Hazy,IPA ,Drekker Brewing Company,8,70,4.17
Thorn Matrix,Wild Ale - American,Wild Ale,Buddelship Brauerei,6.5,,3.57
Three Chords And A Truth,Stout - Imperial / Double,Stout ,Mikerphone Brewing,13.9,,4.28
Thrice,IPA - Triple,IPA ,Crooked Moon Brewing,11,,3.54
Tickle Torture: Methode Push Pop,Sour - Smoothie / Pastry,Sour ,Forager Brewery,8,,4.17
Tierra Clara Blonde Ale,Blonde Ale,Blonde Ale,Cervecería Transpeninsular,4.1,15,3.4
Time Eater,IPA - Triple New England / Hazy,IPA ,Lua Brewing,10.5,,4.22
Tiny Bites,IPA - New England / Hazy,IPA ,Drekker Brewing Company,5,,3.84
Tipopils,Pilsner - Italian,Pilsner ,Birrificio Italiano,5.2,25,3.57
Tiramisù by Rackhouse,Stout - Imperial / Double,Stout ,LERVIG,13.2,,4.38
Tongue In Cheek,Stout - Imperial / Double Pastry,Stout ,Dois Corvos,10,,3.92
Toska Bryggj,Scottish Ale,Scottish ,OY Brewing,5.8,,3.04
Transcending Memories,Rauchbier,Rauchbier,WarPigs Brewpub,5.2,,3.2
Triple Gelato: Berries & Cream,Sour - Smoothie / Pastry,Sour ,Funky Fluid,10,,4.22
Triple Gelato: Bianco,Sour - Smoothie / Pastry,Sour ,Funky Fluid,9,,4.14
Triple Gelato: Viola,Sour - Smoothie / Pastry,Sour ,Funky Fluid,9,,4.13
Triple the Courage,IPA - Triple New England / Hazy,IPA ,Folkingebrew,10,,4.12
Tropical Punch,Sour - Fruited,Sour ,Ten Hands Brewing,6,,3.5
Tropicália,IPA - American,IPA ,Creature Comforts Brewing Co.,6.6,65,4.05
Turn Up the Juice,Sour - Fruited Berliner Weisse,Sour ,18th Street Brewery,5,,3.58
Tutty Frutty II,Farmhouse Ale - Saison,Farmhouse ,DUST Blending,6.5,,3.92
Twilight,IPA - Triple,IPA ,Willibald Farm Brewery,10.2,,4.19
Tycoons of Taste,IPA - Imperial / Double,IPA ,Moksa Brewing Co,9,,3.89
Umbra 2022,Mead - Melomel,Mead ,The Attic Meadery,13,,4.19
Un4gettable,Barleywine - American,Barleywine ,Carbon Brews,12.6,90,3.51
Unknown Passage,Wild Ale - Other,Wild Ale,Branch & Bone Artisan Ales,5,,3.91
Unlock Citra,IPA - Triple,IPA ,Birra MC - 77,10,,3.81
Unlock Tettnang Tettnanger,Kellerbier / Zwickelbier,Kellerbier ,Birra MC - 77,4.9,,
Upsy Daisy,Stout - Pastry,Stout ,ÅBEN,12,,3.95
V (Five),Stout - Imperial / Double,Stout ,Spartacus Brewing,15,,4.57
Vampyre Disco,Sour - Smoothie / Pastry,Sour ,Neon Raptor Brewing Co.,10,,4.18
Velvet Cobweb (2021),Mead - Melomel,Mead ,Marlobobo,13.5,,4.41
Velvet Suit,IPA - New England / Hazy,IPA ,Birra MC - 77,6.5,,3.92
VENN,Stout - Imperial / Double Pastry,Stout ,Pulpit Rock Brewing Company,11.1,,4.5
VENN,Stout - Imperial / Double Pastry,Stout ,Pulpit Rock Brewing Company,11.1,,4.5
VHS Marathon,IPA - Imperial / Double New England / Hazy,IPA ,Too Old To Die Young Brewing Co.,8.5,40,4.05
VHS Never Dies,IPA - Imperial / Double New England / Hazy,IPA ,Too Old To Die Young Brewing Co.,8,35,3.77
Vinohradská 11,Pilsner - Czech / Bohemian,Pilsner ,Vinohradský pivovar,4.5,,3.54
Vinohradská 12,Pilsner - Czech / Bohemian,Pilsner ,Vinohradský pivovar,4.8,,3.57
Vintage Nectar 2023,Stout - Imperial / Double,Stout ,3 Sons Brewing Co.,,,4.17
Violet Perception,Sour - Fruited Berliner Weisse,Sour ,Branch & Bone Artisan Ales,4.6,,3.84
Violetta,IPA - New England / Hazy,IPA ,Ten Hands Brewing,6.3,40,3.71
Virmalised,IPA - American,IPA ,Põhjala,6.5,50,3.68
Voodoo Love Child,Belgian Tripel,Belgian ,Voodoo Brewing Co.,9.5,25,3.72
Voodoo Priest,Stout - Imperial / Double,Stout ,FrauGruber Brewing,13.8,,4.21
Vorrei Un Aperitivo,Wild Ale - Other,Wild Ale,Métaphore,4.6,,3.97
Walled Gardens (2022),Sour - Fruited,Sour ,Crossover Blendery,5.8,,3.75
Walnotenlambiek,Lambic - Fruit,Lambic ,Oud Beersel,7.5,,3.51
Watch 'Em All Flock,Stout - Imperial / Double Pastry,Stout ,Moksa Brewing Co,13.4,,4.57
WE WERE SO IN PHASE,IPA - American,IPA ,Pomona Island Brew Co.,6.8,,3.69
What's In Your Head?,Sour - Fruited,Sour ,Mikerphone Brewing,5,,4.13
Where Evil Grows BA,Stout - Imperial / Double,Stout ,Crooked Moon Brewing,11,,4.14
Wild Dry Cider - Aged On Lambic Whisky Barrels,Cider - Dry,Cider ,Oud Beersel,7.5,,3.66
Wild Dry Cider - Blended With Lambic,Cider - Dry,Cider ,Oud Beersel,7.5,,3.64
Wild Dry Cider With Birch Leaves,Cider - Dry,Cider ,Saules Cidery,6.5,,3.53
Wild Dry Cider With Blackcurrants,Cider - Dry,Cider ,Saules Cidery,6.5,,3.42
Wild Dry Cider With Hibiscus,Cider - Dry,Cider ,Saules Cidery,6.5,,3.52
Wild Dry Cider With Honey,Cider - Dry,Cider ,Saules Cidery,6.5,,3.49
Wild Dry Cider With Lithuanian Grapes,Cider - Dry,Cider ,Saules Cidery,6.5,,3.5
Wild Dry Cider With Lithuanian Hops,Cider - Dry,Cider ,Saules Cidery,6.5,,3.53
Wild Dry Cider With Quince,Cider - Dry,Cider ,Saules Cidery,6.5,,3.39
Wild Lion: Methode Push Pop,Sour - Smoothie / Pastry,Sour ,Forager Brewery,6,,4.4
Wildflower IPA,IPA - New England / Hazy,IPA ,Ebeltoft Gårdbryggeri,5.9,,3.73
Willibald Export,Lager - Dortmunder / Export,Lager ,Willibald Farm Brewery,6.5,,3.75
Winkle Nectar,Stout - Imperial / Double Pastry,Stout ,3 Sons Brewing Co.,14.8,,4.61
Winter Wine,Barleywine - Other,Barleywine ,Stigbergets Bryggeri,10,,3.8
Wizard of Ozzie,IPA - Imperial / Double New England / Hazy,IPA ,Dois Corvos,7.5,,3.86
Wolf & Otter,Barleywine - English,Barleywine ,Forager Brewery,11,,4.48
Wolf Inside,IPA - Triple New England / Hazy,IPA ,Spartacus Brewing,9.5,70,4.27
Wonder Wall,Sour - Fruited Berliner Weisse,Sour ,Ology Brewing Co,6,,3.84
World's Best,Stout - Imperial / Double Pastry,Stout ,Amager Bryghus,11,20,3.8
WüühüüW,Farmhouse Ale - Saison,Farmhouse ,DUST Blending,8.8,,4.17
Wynona's Big Brown Ale,Brown Ale - American,Brown Ale,Voodoo Brewing Co.,7.5,31,3.69
Yardnarb,Sour - Berliner Weisse,Sour ,Sour Cellars,6,,3.84
YEAR OF THE HAZE CRAZE,Pilsner - Czech / Bohemian,Pilsner ,Flying Couch Brewing,4.8,19,
YEAR OF THE LAGER,IPA - New England / Hazy,IPA ,Flying Couch Brewing,6.66,13,3.93
?photic (aged In Buffalo Trace Bourbon Barrels Batch 2),Stout - Imperial / Double,Stout ,Voodoo Brewing Co.,12.3,,4.16
